rank,university,country,city
1,Massachusetts Institute of Technology (MIT),United States of America,Cambridge
2,Imperial College London,United Kingdom,London
3,Stanford University,United States of America,Stanford
4,University of Oxford,United Kingdom,Oxford
5,Harvard University,United States of America,Cambridge
6,University of Cambridge,United Kingdom,Cambridge
7,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,Zurich
8,National University of Singapore (NUS),Singapore,Singapore
9,UCL (University College London),United Kingdom,London
10,California Institute of Technology (Caltech),United States of America,Pasadena
11,The University of Hong Kong,"Hong Kong SAR, China",Hong Kong
12,"Nanyang Technical University, Singapore",Singapore,Singapore
13,University of Chicago,United States of America,Chicago
14,Peking University,China (Mainland),Beijing
15,University of Pennsylvania,United States of America,Philadelphia
16,Cornell University,United States of America,Ithaca
17,Tsinghua University,China (Mainland),Beijing
17,"University of California, Berkeley (UCB)",United States of America,Berkeley
19,The University of Melbourne,Australia,Melbourne
20,The University of New South Wales,Australia,Sydney
21,Yale University,United States of America,New Haven
22,École Polytechnique Fédérale de Lausanne,Switzerland,Lausanne
22,Technical University of Munich,Germany,Munich
24,Johns Hopkins University,United States of America,Baltimore
25,Princeton University,United States of America,Princeton
25,The University of Sydney,Australia,Sydney
27,McGill University,Canada,Montreal
28,PSL University,France,Paris
29,University of Toronto,Canada,Toronto
30,Fudan University,China (Mainland),Shanghai
31,King's College London (KCL),United Kingdom,London
32,Australian National University,Australia,Canberra
32,The Chinese University of Hong Kong,"Hong Kong SAR, China",Hong Kong
34,University of Edinburgh,United Kingdom,Edinburgh
35,The University of Manchester,United Kingdom,Manchester
36,Monash University,Australia,Melbourne
36,The University of Tokyo,Japan,Tokyo
38,Columbia University,United States of America,New York City
38,Seoul National University,Republic of Korea,Seoul
40,University of British Columbia,Canada,Vancouver
41,Institut Polytechnique de Paris,France,Paris
42,Northwestern University,United States of America,Evanston
42,The University of Queensland,Australia,Brisbane
44,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Hong Kong
45,University of Michigan-Ann Arbor,United States of America,Ann Arbor
46,"University of California, Los Angeles (UCLA)",United States of America,Los Angeles
47,Delft University of Technology,Netherlands,Delft
47,Shanghai Jiao Tong University,China (Mainland),Shanghai
49,Zhejiang University,China (Mainland),Hangzhou
50,Yonsei University,Republic of Korea,Seoul
51,University of Bristol,United Kingdom,Bristol
52,Carnegie Mellon University,United States of America,Pittsburgh
53,The University of Amsterdam,Netherlands,Amsterdam
54,The Hong Kong Polytechnic University,"Hong Kong SAR, China",Hong Kong
55,New York University (NYU),United States of America,New York City
56,London School of Economics and Political Science (LSE),United Kingdom,London
57,Kyoto University,Japan,Kyoto
58,Ludwig-Maximilians-Universität München,Germany,Munich
58,Universiti Malaya (UM),Malaysia,Kuala Lumpur
60,KU Leuven,Belgium,Leuven
61,Korea University,Republic of Korea,Seoul
62,Duke University,United States of America,Durham
63,City University of Hong Kong,"Hong Kong SAR, China",Hong Kong
63,National Taiwan University (NTU),Taiwan,Taipei
65,The University of Auckland,New Zealand,Auckland
66,"University of California, San Diego (UCSD)",United States of America,San Diego
67,King Fahd University of Petroleum & Minerals,Saudi Arabia,Dhahran
68,University of Texas at Austin,United States of America,Austin
69,Brown University,United States of America,Providence
